Headline,Sentiment,Score
Mudavadi rallies Malava women to elect trustworthy leader in November 27 by-election,Positive,0.5574
Blood drive launched for Kisumu crash survivors,Negative,-0.296
President Ruto says he won’t be intimidated by ‘Wantam’ sloganeering,Negative,-0.4404
IEBC sets November 27 for multiple by-elections across Kenya,Neutral,0.0
"NACADA crackdown nets over 7,000 litres of illicit alcohol",Neutral,0.0
Ruto makes changes at Communication Authority of Kenya Board,Positive,0.0772
"Nairobi Hospital, insurers in talks to end tariff row",Neutral,0.0
"Kuccps opens teacher upgrade, Tvet applications",Neutral,0.0
OPINION: Celebrating an icon and champion for children: Dr Phoebe Asiyo,Positive,0.8225
19 people killed in road accident along Kisumu-Kakamega highway,Negative,-0.8225
IEBC announces dates for all by-elections,Neutral,0.0
20 killed in Kisumu road crash,Negative,-0.802
"Six dead in AMREF aircraft crash, three minutes after takeoff",Negative,-0.7906
"Ruto, Raila pick team to oversee execution of UDA-ODM deal, NADCO report",Neutral,0.0
"Senate, MPs rivalry plays out again as Khalwale hits out at Wetangula",Positive,0.25
Infant among five killed in grisly crash on Nakuru-Eldoret Highway,Negative,-0.802
Harambee Stars stun DR Congo to kick off CHAN debut with a win,Positive,0.5859
PICTURES: Tanzania roars to victory with 2-0 against Burkina Faso,Neutral,0.0
Regional blocs merge peace missions for DRC,Positive,0.5423
Government to disburse HELB loans and Scholarships from August 15,Neutral,0.0
